subject_id,subject_name,time_slot
IT4501,Lập Trình Android,Thứ 2 - Ca 1 (07:00-09:00)
IT4502,Cơ Sở Dữ Liệu,Thứ 3 - Ca 1 (07:00-09:00)
IT4503,Mạng Máy Tính,Thứ 2 - Ca 3 (13:00-15:00)
IT4504,Trí Tuệ Nhân Tạo,Thứ 3 - Ca 2 (09:30-11:30)
IT4505,Phân Tích Thiết Kế Hệ Thống,Thứ 4 - Ca 3 (13:00-15:00)
IT4506,Công Nghệ Phần Mềm,Thứ 5 - Ca 1 (07:00-09:00)
IT4507,An Toàn Bảo Mật,Thứ 5 - Ca 4 (15:30-17:30)
IT4508,Machine Learning,Thứ 6 - Ca 2 (09:30-11:30)
IT4509,Kiến Trúc Máy Tính,Thứ 2 - Ca 4 (15:30-17:30)
IT4510,Hệ Điều Hành,Thứ 6 - Ca 3 (13:00-15:00)
